Title_name,Title_User,Title_Review,Title_Date,Title_Stars,Title_Hepful,
"Love the book, hate the movie",digitalbeachbum,"A great book being made in to a subpar movie. There is no denying that anyone who thinks this is a masterpiece of a 10/10 is nothing more than fanboy fanfare hardon for Harry. Period. This is far from being a masterpiece and I find it insulting to the fans who liked the books. The casting is fine and I actually think the highlight of the movie. Alan Rickman is amazing, as well much of the supporting cast. The direction is meh. The cinematography is meh. The CG is awful. The script is terrible. There are continuity issues with how magic is used. The characters are inconsistent. There are plenty of fallacies and deus ex machina moments. It could have been so much more.",26-May-20,1,2,
Visual Awe Vaults It Even Over Book,zkonedog,"If you watch ""Sorcerer's Stone"" without reading the book first, there are certain narrative points that you will miss or not quite be as clear on (as usual). However, watching the movie closely following the reading experience will actually expand upon the Potter myth (I gave the first book four stars) due to this film's ability to lay the groundwork of the series in such stunning visuals and characters.
For a basic plot summary, ""Sorcerer's Stone"" sees young Harry Potter (Daniel Radcliffe) living with his aunt and uncle and being mistreated horribly (sleeping in a closet under the stairs, told how rotten he is all the time, etc.). Right before his 11th birthday, however, Harry begins receiving letters from a mysterious owl (as well as a visit from a rather large gentleman riding a flying motorcycle) informing him that he is in fact from wizard lineage. Thus, Harry is whisked away to Hogwarts, a ""Wizard Academy"" of sorts, to begin his training. While at Hogwarts, Harry meets new friends Ron (Rupert Grint) & Hermoine (Emma Watson) as well as discovers the mystery behind the death of his parents regarding a shadowy character called Voldemort.
In terms of following the novel, this film does a pretty good job of keeping in lock-step. There are certain scenes that are excised for time/continuity and a few ""facts"" from the book that are blatantly different from the movie, but other than that it is a great representation.
In fact, in a departure from the norm, I actually enjoyed the movie experience better than the book. Why? Because of the way it was able to so wonderfully put a visual to all the great characters. For some, the ""mystery is gone"" when they see their literary characters up on the big screen, but in this case I was very pleased to put a face to all these great characters.
The movie also has (just like the book) a sense of ""epic-ness"" to it. It is very clear that this is only the beginning of an epic series, with more and more mysteries and character development to come.
Thus, ""Sorcerer's Stone"" is a great cinematic experience that will leave you wanting more as soon as it concludes. The mysteries and characters are paced perfectly, and the story (as it is geared for young adults in the first place) is easy enough to latch onto while nuanced enough to get sucked into.",4 March 2017,9,,
Faithful to the book.,filipemanuelneto,"This film is an adaptation of the first book of Harry Potter's saga, written by the British author J.K. Rowling. Directed by Chris Columbus, a man with experience in making films for young audiences (""Home Alone"" is paradigmatic), this film has a very young cast led by Daniel Radcliffe, Rupert Grint and Emma Watson, in the roles of the apprentices wizards Harry Potter, Ron Weasley and Hermione Granger, while also features veterans actors of the British theater and cinema, as Richard Harris (in one of his last appearances in movies before his death), Maggie Smith and Robbie Coltrane, in the roles of Professor Dumbledore, school's headmaster, his main collaborator, Professor McGonagall and the school's gamekeeper, Hagrid.
This film marks the start of one of the most acclaimed and profitable franchises in the twenty-first century cinema, where several acting careers met its beginning or end. The film practically doesn't have a single negative note: he managed to pick up a book that was already a huge success and amplify it astronomically without sacrificing its authenticity. Anyone who has read the book recognizes it in this film and sees the book's magic gaining life, body and shape. The special effects, the details of the scenario, the costumes (any similarity between the school robes and the traditional black cloaks of university students of Portugal is not a mere coincidence, since Rowling lived in Portugal and has even married a Portuguese) all contribute to make us feel that this movie is the book we read and we have on our hands. Phenomenal, one of the best adaptations of a novel.",5 September 2015,9,,
moments of magic and imagination make this a superior movie,didi-5,"Overshadowed by the Lord of the Rings: Fellowship of the Ring when it was first released, this opening entry in the Harry Potter franchise is quirky, magical, and full of charm. Daniel Radcliffe, as Potter, shines as the boy wizard just beginning to realise his potential and his fate.
Special effects are memorable - the constant stream of letters luring Harry to Hogwarts, the snake pit, the colour changes of house colours, the game of Quiddich. And the acting is stellar from veterans Maggie Smith, Robbie Coltrane, Alan Rickman, and Richard Harris (when comparing his Dumbledore to Michael Gambon's it would have been fascinating to see both actors tackle the character at all stages in the series to see how their interpretations would develop; sadly Harris died after film two, necessitating a cast change).
Not as stunning as LOTR, nevertheless there is plenty in the first Harry Potter to interest adults and delight children.",12 September 2007,7,,
The fifth time's the charm,pmtelefon,"I've seen ""Harry Potter and the Sorcerer's Stone"" quite a few times now. Tonight was the first time I really enjoyed it. It's not a perfect movie but the flaws bothered me less than they usually do. The movie is a little too long. The special effects are well done but they're also non-stop. Tonight, however, I enjoyed the characters more than I have before. The movie does have a certain charm. Now I'm willing to give the other movies in the series (I've seen them all multiple times) another chance.",19-May-21,8,0,
Pure magic (dvd),leplatypus,"It's the best movie of the best book.
It has everything: a original story, an incredible cast, a talented production. It's a really breath of air, compared to today blockbuster where CGI is indigent and to later Potter movies (the Yates period) where everything turns darks.
Watching those first steps makes me understand two things:
First, when a movie involves kid, their credibility lies upon the creativity of the director. Indeed, Columbus was the finest choice for the job after what he has done in ""Home alone"". Here, he gives his young cast the perfect suggestions. I believed a lot of people find the movie too much eye-candy but it's what the book is about: stepping into a new universe filled with magical things and with kids. So, the crucial thing was to have this feeling of amazement.
Next, Potter is the best piece of fantasy since ""Star Wars"". I really don't see others fiction works that can make dream kids and adult as well in the 1990 and 2000. The only regret we can get is that the first stories are really educational for kids whereas the last stories, starting with HPATOFP, are too much about violence, death, war and killings. I really can't accept the high dose of violence the young generation is exposed today because life is above all about fighting inner demons than bad people! How can they discover what courage means when the only solution they see is to punch, kick, kill the one who are against them. our actual societies are becoming like Sparta and thus, in those earlier movies of Potter and in this one, particularly, there was at least still place for innocence.",23 March 2012,10,,
My review of Harry Potter And The Philospher's Stone,lisafordeay,,22 April 2017,7,,
Book-lovers will be excited to see it all come to life,Movie_Muse_Reviews,"When a beloved book is given the big-screen treatment, there's always the excitement factor of getting to see what was once only in your head come to life right before your eyes. That excitement was 100-fold, however, with J.K. Rowling's smash-hit fantasy series beginning with ""Harry Potter and the Sorcerer's Stone."" With that much anticipation, there are some serious expectations for Warner Brothers' behemoth franchise-to-be, and gladly the pay-off of seeing it all for the first time makes ""Sorcerer's Stone"" a success with Potter fans.
As for those who never picked up the book, there might be a good portion among them who aren't left spellbound. The enormous project suffers a bit out of fear of failing the fans, which is fair as they're the target audience -- along with families in general. That's where the choice for Chris Columbus to produce and direct becomes the level-headed choice. With credits including both ""Home Alone"" films and ""Mrs. Doubtfire,"" Columbus clearly knows how to work with kids -- and there is a lot of that work needing to be done with young actors Daniel Radcliffe, Rupert Grint and Emma Watson taking most of the screen time. All three are quite talented for having barely a credit to their names and Columbus deserves much of the praise for their performance.
The rest of the cast is pretty remarkable: a who's who of outstanding British acting (and some Scottish). Richard Harris as Dumbledore, Maggie Smith as Professor McGonnagal, Richard Griffiths as Uncle Vernon, John Hurt as Mr. Olivander, Robbie Coltrane as Hagrid and Alan Rickman who is brilliantly chilling as the mean, stone-faced Professor Snape. Each of them clearly talented enough to bring these characters to life not just visually but with complexity. They are like the respected elders of the film and we bow our heads to them.
At the same time, the first Harry Potter is a much more childish film full of good vs. evil cliché. Maybe the attribution should go to the desire to not get slapped with anything more than a PG rating, which is understandable, but it dilutes the mystique of the novels. The art direction (with lavish sets and costumes) makes the film carry its own magical quality just like the book, but it's the dramatic storytelling that's not as breath-taking.
Part of that problem belongs to the challenge of adapting the book. Steve Kloves (""Wonder Boys"") proves an interesting choice, but I wouldn't wish this assignment on anyone. Kloves opts for taking the maximum time producers would give him (two and a half hours -- too much for a family film) and crams as much book material as he can into it. Not exactly the best way to do it, but the safest as far as fan-pleasing goes. ""Sorcerer's Stone"" ends up vaulting from scene to scene and the result is that Harry goes from boy who didn't know wizards existed to wizard student with the knowledge that strangers wouldn't just carry dragon eggs in about an hour and a half. The story still gives Harry time to charm us and express his fears and wishes to know his parents, but his hero's journey is undermined by sheer desire to fill the screen with as many magical elements from the book as possible.
""Sorcerer's Stones"" will certainly satisfy fans' itches and entertain them at a high level of quality, which I can say falling into that category, but it's a bit too much like a really long race because of its commitment to book obedience (and I'm sure plenty was missing too). But seeing it all come to life is enough to entertain the masses and provoke the imaginations of nearly all who sit down and watch.",4 July 2009,7,,
sorcerers stone,marmar-69780,"Sorcerers stone is the movie that started all and where all magic and its world begun on which a lot of children grow up including me,sorcerers stone is a good stepining stone for a massive franchise,still it has some problems with tone shifting and balancing fun and serious moments and it intruduced some charcters that in other movies never appeared again by that i think they were unneceserey to be even in first one,but for first film it intruduced this world in good way and intuduced a lot beloved now even iconic characters",3 December 2019,7,0,
decent first film,funkyfry,,26 July 2007,6,,
Lord of the Stone!,Anonymous_Maxine,"Harry Potter and the Sorcerer's Stone was released in close proximity to the great Lord of the Rings, and while this has happened many times before with the general result that one of the two films is widely, although not always correctly, considered inferior to the other (Independence Day and The Arrival, Armageddon and Deep Impact, etc.), this has surprisingly not been the case with these films. Clearly, The Lord of the Rings is a much more mature and bold film, but the first installment in the Harry Potter series is much more than a childish adventure tale. One of the things that really makes it a great film is that the film is so faithful to the book. The writers and director Chris Columbus wisely decided not to take any creative liberties with the material that they had to work with. I am glad to see this, because literary faithfulness is almost always associated with better adapted films, and it's good to know that no one involved with the making of Harry Potter and the Sorcerer's Stone felt the need to improve upon a book that has been justifiably described as a `publishing phenomenon.'
J.K Rowling has created a brilliant adventure masterpiece with her first novel, which she reportedly began writing in some café in England back when she was a struggling single mother, and Chris Columbus has successfully taken on the daunting task of bringing it to the screen. One of the things that Harry Potter and the Sorcerer's Stone has in common with The Lord of the Rings is that they both bring the audience to entirely new worlds, with the added bonus in Harry Potter that we actually start out in the real world (to some extent) and travel to the world of witches and wizards with the equally amazed Harry Potter.
On a structural level, Harry Potter takes an age-old underdog winning formula and reformulates it to make it interesting again. We get a surprisingly simple version of the good vs. bad structure that Star Wars exemplifies so well as Harry faces off with his pals in Griffindor against the obviously malicious Draco Malfoy (what a name!) and the rest of Slytherin. There is a surprising amount of characterization going on in this film even at the level of their actual names, to such extent that a couple of Draco's loyal goons have names like Crabbe and Goyle. Real charmers, I'm sure.
Obviously, in a film with this much fantasy and adventure, there is a definite need for some amount of computer-generated special effects. You just can't have a fight with a fully-grown mountain troll or a game of Quidditch played on broomsticks or a lot of the magic that took place in the movie without them, but thankfully they were wise enough not to take the special effects too far, a mistake the ease of which to make George Lucas is happily proving. The problem with computer-generated images these days is that no matter how huge the budget is or how high tech the images are, they NEVER look completely real. Chris Columbus seems to realize this, as can be seen, for example, in the Quidditch game, in which all of the players zooming around on their brooms are generally shown from a distance, so that the only way that we can tell that they aren't real, with a few exceptions, is that we've never seen someone in real life riding a flying broom. Given the fact that a game played entirely on flying brooms was made to look at least moderately convincing, we're more than willing to forgive the relatively few scenes in which the level of reality slips a little bit (such as the scene where the mountain troll is hanging Harry by his foot, swinging at him with his club).
The casting in the film, as well, could not possibly have been better. 12 year-old Daniel Radcliffe perfectly captures the unique character of Harry Potter, and his young friends in the film are portrayed by a series of preteen newcomers as well. The surprising thing here is not only that most of the children with lead roles in the film are very new to film acting, but that Chris Columbus managed to coax such convincing performances out of all of them (obviously, being fans of wonderful adventure tales such as Harry Potter and the Sorcerer's Stone, we all remember director Richard Donner mentioning in the director's commentary on The Goonies DVD that working with children made him contemplate suicide on a daily basis). Robbie Coltrane delivers the performance of his career as the lovable Hagrid, the gigantic Gamekeeper with the heart of gold and the clumsily loose tongue, while Richard Harris and Maggie Smith fit so well in their roles that they seem to have been written specifically for them (each easily reaching the incredible level of precision with which Ian McKellan and Christopher Lee each fit into their respective roles in The Lord of the Rings). And, of course, I can't forget Alan Rickman, who is so perfectly cast as Severus Snape that the role could not have been filled half as well by any other actor. Rickman has been unfortunately typecast since his absolutely brilliant performance in Robin Hood: Prince of Thieves, and his role here as Snape is hardly a notch or two below that one.
Clearly, Harry Potter and the Sorcerer's Stone is aimed at a relatively younger audience, since the books are aimed at a young adult audience, but the film manages to entertain children and adults alike, just as the books are easily enjoyable by any adult who is at least slightly in touch with his or her inner child. It is not often that a book or series of books as fascinating as the Harry Potter books comes along, and it's great to see that, just like The Lord of the Rings, the series is off to a smashing good start. I wish they would make movies out of some of the other adventure books that are just as fun to read as the Harry Potter books, such as The Phantom Tollbooth or The Chronicles of Narnia (someone's sitting on a gold mine with that one!!), but for now, I am personally more than content to sit back and watch a new Harry Potter or Lord of the Rings film for the next couple years, and hope that this trend of quality adventure will continue in the future.",17 June 2002,10,,
A Fine Commercial and Social Product,jzappa,"Gone With the Wind was another literary phenomenon that produced a film rendering that had to meet equally exacting fan qualifications. It's comparable in the sense that everyone had an attitude about the casting, which in due course resulted wonderfully. The novelists required a loyalty to the manuscript, which was respected. Directors were enlisted who could be relied upon to deferentially work for the material. Immeasurable arithmetic was done while constructing the corporal worlds of the novels. Producers challenged standard constraints about running time to incorporate all the indispensable narrative episodes.
On a hushed suburban London street, owls emerge, a cat transforms into Maggie Smith and Robbie Coltraine relinquishes a bundled infant to a doorstep. Harry Potter, an urchin who keeps extraordinarily buoyant despite the never-ending bitterness and cruelty allotted by the intolerant aunt and uncle with whom he's been left, is kept in a cubbyhole, tormented by his browbeating cousin, forbidden from opening the officially addressed envelopes that inexplicably begin arriving for him. The relatives are stunned when the same leviathan, Hagrid, arrives on Harry's 11th birthday to notify him that he's indeed the son of two slain wizards and is now welcome to grace Hogwarts. Very smartly, this is all done with tongue lodged in cheek and rewarded by temporary comeuppance.
The reason this near-ideal product holds up so well from age ten to twenty owes to its humor, its light-hearted youthful nature, though it's clear that Chris Columbus cuts and arranges his camera very capriciously and isn't the ideal filmmaker for staging action dramatically or developing with deliberate accent, depending instead on FX and John Williams' tiringly hectic score to punch up crucial moments. Nevertheless, it's all on the right tonal level, as we're absconded into a world immortalized to an unusually engaging extent by production design, locations, effects and actors. The key, naturally, is Radcliffe. Young Daniel's standard facial appearance, unkempt dark hair, sheer eyes, round spectacles make an instantaneously adorable Harry. He's an average underdog whose continuing comprehension of his uncommon power I believe.
When, at 40 minutes in, the school is finally seen, kids paddling across a lake at night toward its soaring spires on a bastion-style outcrop, the film establishes a sought-after atmosphere of marvel and mystery about what lies ahead. Maggie Smith recurs as Professor McGonagall, who heads the much-repeated ""sorting"" of students arbitrated in the immense Great Hall by a pleasant talking hat. Harry, Weasley and Hermione wind up together in Gryffindor, while their little arch-rival Malfoy is allocated to Slytherin, where Alan Rickman's ham-handedly fearsome Professor Snape rules. Mysteriously, a feast materializes on the endless tables, ghosts gracefully flutter around, paintings are flesh, stairways reposition unexpectedly.
Throughout a decidedly action-packed school year, it appears someone wicked is scheming to purloin the eponymous Stone for Voldemort, a matchless wizard who's been without power since he slaughtered Harry's parents but couldn't quite dispose of the child. The stone lies beyond a trap door fortified by a massive three-headed dog absurdly named Fluffy. In a jam-packed chain of events from such highlights as Harry's night-time rovings in his invisibility cloak and seeing his late parents in a conjuring mirror to eluding Fluffy into a full-scale chessboard, the young threesome has its nerve and cleverness weathered to the utmost in a clash of obvious good versus evil, though the chess match alas underscores violence over suspense.
Harry's found to be so skillful at piloting a broomstick that he's made star player on Gryffindor's team in Quidditch, a staggeringly unsafe sport that has its pre-pubescent players hundreds of feet above an arena on brooms in frantic pursuit of very hard high-speed balls. The airborne element is excellently achieved visually, but the Quidditch match itself is one sequence that indulges speed with suspense and loudness with excitement without the support of narrative motion.
Regardless, the cast recompenses flat out, especially the sweetly extroverted Emma Watson as the prying, sharp-witted Hermione, and Rupert Grint, whose Weasley grows charmingly from a perfectly nebbishy second-banana comic foil into indispensable sidekick. On the grown-up front, Coltrane is foremost among contemporaries, yet it's no revelation how superlatively such authorities as Smith, Rickman, John Hurt, Richard Harris as the white-maned Dumbledore, Ian Hart as the enigmatic Quirrell and Richard Griffiths and Fiona Shaw as the nervously conventional Dursleys are brilliant.
By and large, the vast effects are exceptional and pleasing. Some of the creature work, like the centaur, even calls to mind Harryhausen's pioneering stop-motion. The costumes are another spring for repeated amusement, while John Seale's widescreen lensing substantially proliferates everything across the screen. If all movies acquisitively allocated as cinematic franchises could be as spotlessly considered as Harry Potter and the Sorcerer's Stone, there'd be no incentive to lament cinema's asinine commodification.",18-May-11,8,,
A brilliant start to the fantastic franchise...,taylorkingston,,01-May-15,9,,
Nicolas Flamel Strikes Again,robert-temple-1,"As the first of the famous Harry Potter films, this one managed to restrain its special effects sufficiently not to overwhelm the viewers with too many dazzling visuals at the expense of the story and the amusing characters. The result is most entertaining, and Emma Watson was perfectly cast as the character Hermione. The production is full of famous actors, some recognisable, some not. Robbie Coltrane is particularly effective and endearing, with a broad Somerset accent, of all things! Maggie Smith has little to do but wrinkle her nose. But there is little point in discussing a production which has been reviewed to death and talked about until everyone has lost their breath, and there is nothing to add about all that. In America, this film title used the phrase 'sorcerer's stone' because Americans were presumably considered too ill-educated to know what the Philosopher's Stone is. In Britain and Canada, the title used the correct phrase of 'the Philosopher's Stone'. The Philosopher's Stone (correctly shown in the film as being red in colour) is reputed to have existed, but no one is certain. It was the end-product of alchemy, and had the ability to turn all metals into gold if you sprinkled a little of it on, say, lead, for instance. It also could produce a medicine to allow you to live indefinitely in good health, perhaps for centuries. J. K. Rowling sticks some genuine esoterica into her stories sometimes, and in this one she incorporated the fourteenth century alchemist Nicolas Flamel, whose presumed dates are sometimes given as 1330-1418. He really existed, and his tombstone may be seen in the Musee de Cluny in Paris, on the left as you go up a staircase, affixed to a wall. The staff of the Museum either do not know or pretend not to know who Flamel is, and 'if ye seek ye shall not find', as they all look blank. As far as I know, I may be the only person who has fully deciphered the symbology of this strange stone. Flamel faked his own death to avoid arrest and imprisonment by the French king, who wanted to keep him captive and force him to make gold for him. The tombstone was designed by Flamel himself before he disappeared. For a long time it rested in place in the nave of the Paris church of Saint-Jacques la Boucherie, but that church was demolished long ago, with only its high tower remaining. The Tour Saint-Jacques has now had its scaffolding removed, and is looking splendid and clean. It has long been the symbol of modern French esotericism (which the French call esoterisme), and a famous French esoteric periodical even bore its name. The tombstone was salvaged from the demolition and used for many years, turned upside-down, as a chopping-board for herbs, by a herb-seller in his shop. It was recognised in the 19th century and preserved by an antiquary. The old stone house of Flamel, known as 'the oldest house in Paris', still stands and you can go and eat there in a small and expensive restaurant called after Flamel. There are even two little streets in the vicinity of the Tour named Rue Nicolas Flamel and Rue Perenelle, the latter of which is named for his wife and alchemical collaborator. In the film, Flamel is said still to be alive, and the Stone is his, although he does not appear in the story himself. What happened to Flamel, who was Fulcanelli, all of these things are continuing mysteries which are far more interesting than any J. K. Rowling story. Nevertheless, it is good that young people are being given a small dose of these things in palatable form by Rowling, as it might open their minds, if they can stop texting trivia to each other for long enough to allow their minds to be opened, that is.",13 April 2009,9,,
"I like it very much, but there are good reasons why I can't love it",FiendishDramaturgy,,22 September 2003,7,,
Harry Potter and the Sorcerer's Stone,JoBloTheMovieCritic,10/10 - an unforgettable start to a fantastic film series and the career of the impeccable Emma Watson (and the other kids),31 August 2019,10,1,
A good start to an excellent franchise,freemantle_uk,"Yet face, if a book sales well, it is bound to made into a film, regardless of quality, or even if it is filmable. This is true for books like Twilight, the Golden Compass (or Northern Lights what it's really called) and Dan Brown's thrillers. J.K. Rowling's Harry Potter series became one of the most popular series of books of all time, appealing to children and adults. There were written in a assessable style, with a clear and strong narrative, but with a good deal of backstory. A film adaption became enviable.
Harry Potter and the Philosopher's Stone is the first book, and film of the series, starting with Harry Potter (Daniel Radcliffe) as an 11-year-old boy, raised as a regular human (muggle) child by his aunt and uncle. He is abused, forced to live in a small cupboard under the stairs whiles his cousin is spoiled rotten. But Harry's life is changed when he finds out that he had been admitted to Hogwarts, a school for wizards and witches. He discoveries that he is a celebrity in the wizardry world, but does not know his own family history. Whiles in Hogwarts Harry makes friends with Ron Weasley (Rupert Grint) and Hermione Granger (Emma Watson), and the three end up working together. Harry becomes the new star of the Quidditch team, and Hermione is the brains of the operation. The three believe that a threat to Hogwarts, with the Dark Wizard Lord Voldermort wanting the Philosopher's Stone hidden in Hogwarts and using his old follower Professor Severus Snape (Alan Rickman) to get it.
When this film was in pre-production a number of big-name directors were attached, including Terry Gilliam, M. Night Shyamalan, Alan Parker, Brad Silberling, Baz Luhrmann and even Steven Spielberg. Spielberg planned making the film animated with Haley Joel Osment doing the voice, luckily this never got off the ground. J.K. Rowling preferred was Terry Gilliam, an excellent director with great vision, but could be a handful with the film going overbudget. Warner Brothers settled for Chris Columbus, a director with a decent reputation for family films, like Home Alone and Mrs Doubtfire. He offers a steady hand, knowing what to do, having fun with CGI and light moments of comedy, as well trying to be like Spielberg involving sentimental moments. But he is not so good on the darker elements of the story, hedge why other directors were brought in for later films. Columbus is basically a safe pair of hands to start things off until the films could stand on their own legs.
J.K. Rowling insisted that the cast for the film should have been all British and Irish. The studio played alone and it was a wise move, much like the Bond movies. It was have betrayed fans and non-fans to see an American Harry with either him in end up going to England or transferring the action to America. There is an excellent cast with actors like Richard Harris, Robbie Coltrane, Alan Rickman, Maggie Smith, John Hurt, just to name a few. The type of film Harry Potter is it did not need a massive A-Lister like Brad Pitt or Will Smith, just good actors. The young actors who played the main three actors were however, not great. They were young, child actors with little experience, Emma Watson and Rupert Grint only acted in school plays. They do however improve in latter films, and we can forgive them because they were young and Chris Columbus isn't known for getting great performers from actors.
The Philosopher's Stone is the most light-hearted of the films. They is good action and a fun story. Making the film a good start to the Harry Potter series, keeping it going to 2011.",4 November 2009,8,,
a good film with lots to please the eye but still has its ups and downs,Special-K88,,9 April 2007,0,0,
"Abracadabra! Voila! Boy, what a wizard",dfranzen70,"Harry Potter (Daniel Radcliffe) is a 10-year old British lad who has a zigzag scar on his forehead. He lives with his aunt and uncle and rotund, snotty cousin, who thoroughly despise him and make him live in a cupboard below a staircase. And all looks quite lost until the day Harry receives an invitation to attend the prestigious Hogwarts School of Witchcraft and Wizardry, and he's carried away by the giant Hagrid (Robbie Coltrane).
Harry quickly learns that his mom and dad were a witch and wizard, respectively, and that they died while protecting him from the superevil Voldemort (also known as He Who Must Not Be Named); but Harry also learns that there's something about him that protects him from Voldemort. With his trusted new friends Ron and Hermione, Harry must find out what's in the trap door at Hogwarts that's guarded by a three-headed dog named Fluffy - and that certain bad guy or guys wants to get a hold of.
As serious as the plot seems, this is a most fanciful movie. It's quick paced, so as not to let the little kippers fall asleep, and is full of all of the dazzling effects you'd expect from a wizards and witches movie. It has quite a few things going for it (it did make a zillion dollars, so it must have something going for it), including a brisk, crisp script that's pretty close to the book, excellent performances from top to bottom, and those omnipresent effects that by now are fairly workaday to most of us.
Author J. K. Rowling insisted that all of the cast - or at least those with speaking roles - be British, and as a result we get some of England's finest: Richard Harris (who's actually Irish), John Hurt, Maggie Smith, Ian Hunt, John Cleese, Richard Griffith, Julie Walters, Coltrane, and Alan Rickman. It's a magnificent roster, and each actor appears to be having a great time playing dress-up and spouting some downright hilarious lines.
This is a popcorn movie. Is it a date movie? Um, no. Your date might think you're an idiot if you sit down to watch this. But it IS a great movie to watch with your kids, and you might even get them to read the books. And hey, anything that gets kids to read something thicker than a pamphlet is usually a good thing.
Plus the special effects merely enhance the show; they aren't the show itself. The real star is the precocious Radcliffe (who's been signed to a few more Potter films, by the way) , who essays the young magician perfectly. Too often kids come off as snotty or impossibly cute in movies; Radcliffe is neither, and neither, by extension, is Harry Potter. I've seen too many films in which the kids are nothing more than glorified brats, even when they're the heroes - but not our fair Mr. Potter, who saves the day through his courage, wits, and intelligence. Oh yes, and love.",4 June 2002,8,,
"A Cheery, if Inconsequential, Foray That Merely Scratches the Surface of Harry's World",drqshadow-reviews,"Undoubtedly targeted at a very young audience, there's a certain degree of magic dancing around this picture that makes it easily-accessible to adults as well. Although my own childhood was long gone by the time this hit theaters, watching it today was like leaping back through time to an age filled with innocence and wonder. That effect does occasionally get lathered on a bit thick, but a speedy pace and densely populated realm are usually enough to compensate for such moments. JK Rowling's rich, sprawling, imaginative world is downright hypnotizing on the screen, loaded with treats and treasures, and it's tough to look away for even an instant. Although the CGI work is distractingly bad in a few instances (it very nearly ruins the Quidditch match), the child actors are average at best and there isn't much adversity to our heroes' hunt for the MacGuffin Stone, it's still a cheery, entertaining introduction to a universe that's positively buzzing with potential.",8 July 2013,7,0,
"I think it's as good as the book, but it's all sorcerical.",GiraffeDoor,"For me, the movies will always be a mixed bag and even the first one has its logistical problems.
But if you have no experience with the franchise at all, I would ask you to please give this movie a chance. Although it suffers a lot from jolty pacing at times, there is not a dull moments with so much neat design, visual intelligence and sheer imagination in selling this fantasy of the British public school that happens to also be magic. (Public school means private school, here. And my compatriots say Americans can't speak English!)
The narrative is fragmented by I like its style as a compendium of adventures that fall into one over arching adventure as we discover a new world alongside our adorable everyboy, a world that also happens to be familiar to the target demographic, playing up our fears of belonging and keeping up while indulging the fantasy of escaping annoying relatives to become a hero in a place where anything seems possible, except getting to school on time!
If you can just role with the cheesy kids' movie feel, it can be a real treasure with an evening's sky worth of acting talent really selling the illusion especially Robbie Coltrane as the friendly giant and Maggie Smith as the frightening transfiguration teacher.
It's as funny and chicly formidable as you'd expect but it really does earn its moments of pathos as well. The ending always sort of makes me want to cry (in the good way).",11 March 2020,8,,
A children's classic,Chris_Docker,"Quite watchable but basically a children's classic that has adult audiences agog on the basis of the books. The book was exceptionally well-written and this is probably one of the things that draws in the adult reader. The film, on the other hand, whilst a reasonably faithful and engaging adaptation, adds little beyond putting amiable faces to the names of the characters. All very competent and a must see for any Potter fans, but hardly outstanding in its own right.",11 November 2001,5,0,
Uninspired hack job but kids (and Potter fans) will love it,Chris_Docker,"This film version of the children's classic has now been out long enough for us to take the p*ss. For Potter fans and kids basically. `Yes kids, you too can be like Harry Potter. All you need is a Christmas list as long as your arm, a shopping arcade and a parent with a credit card! And remember, if your parents won't buy it for you, that's proof that they don't love you enough and you should run away!' A soulless and uninspiring hack job designed to squeeze the maximum amount of dosh out of the viewing public.",26 February 2002,5,0,
Welcome to Hogwarts-part 1...,MaxBorg89,"Harry Potter and the Philospher's Stone (I prefer to use the original British title) is a wonderful experience: good script, great visuals, extraordinary actors... However, there's a ""but"", which is the following: it's excessively faithful to the source novel, leaving out only one or two side characters. The movie, which tells how a seemingly normal boy, Harry Potter (Daniel Radcliffe), discovers he is actually a wizard and starts attending a school named Hogwarts, encountering many dangers throughout his first year, isn't boring for a second during its 146 minutes, but the pace is occasionally slowed down because, like in other ""part 1 of 3"" movies (actually, they're supposed to be 7), the director spends a lot of time introducing and explaining things, so he won't have to do it in the sequel(s). In this case, Chris Columbus, best known for Home Alone includes as much as possible also to make sure the target audience (kids) will enjoy it, adult viewers being more used to differences between book and film (and thus perhaps likely to find the running time a bit excessive).
Nonetheless,the movie is great, Columbus using all the tools at his disposal to bring J. K. Rowling's enchanted universe to the screen. And the magic is in every single frame: from potions to talking hats to Quidditch games, it's pretty clear nothing ordinary can possibly happen, and all of it looks real, thanks to brilliantly accomplished special effects and CGI. But the movie's strength doesn't lie only in the visual aspect: there's also an impressive ensemble cast, consisting of some of Britain's finest actors. All of them are impressive, but it si of course the adult section of the cast that pulls off a superior job, having more experience and knowing how to add substance to an array of fascinating characters (standouts include Robbie Coltrane as a gigantic caretaker, Alan Rickman as a sinister teacher and of course Richard Harris, who plays Hogwarts headmaster Albus Dumbledore with unmatched charm and warmth).
Aside from a few ""slow"" bits, this is a good start for what will certainly be one of the defining franchises of the 21st century.
To paraphrase Dumbledore: let the feast begin...",20 November 2005,8,,
