User_name,User_Title,User_Review,User_Helpful,User_Date,User_Location,User_Stars
Darren Olka,Reading while listening.,"I read the books a couple of years ago. However, I gave them up. I wanted to read again with my VoiceView screen reader on my Kindle, but it doesn't work anymore. I like to read it as I listen to it. It used to work a couple of weeks ago. Amazon tried to fix it, but still couldn't fix.",,10 de diciembre de 2021,Estados Unidos,3
Jon,"Great ""read""","I have Alexa read it to me in bed before sleep. Jim Dale, the narrator, does a super job. Fills in a lot not covered in the movie. Audible is a great Amazon product. I am not a book reader. So Audible allows me to ""read"" books that I never would have picked up otherwise.",,1 de diciembre de 2020,Estados Unidos,5
Colleen B.,Still no whispersync,"Still in 2022 - these books do not have whisper sync or audible narration between the audible and the kindle editions.
I also know it doesn't say whispersync on the Amazon page for the Potter books. But I echo other reviews that there really isn’t any good reason for it not to be available, and until a time as they enable it on this series I will not be changing my rating.",,9 de marzo de 2022,Estados Unidos,2
Tom Cat,Amazing voice work! Superior to Fry!,"All of these Audiobooks with Jim Dale are fantastic. The voices are especially good. I can't imagine a better Dumbledore or Hagrid, not even the actors come close the Dale's delivery. But honestly the best part of this audiobook is that he actually says Voldemort's name correctly! Having listened to every Dale entry in this series AND some Stephen Fry...Dale comes out far better. He really did his homework and put out an excellent audio adaptation. I listen to this series every long car trip, sometimes starting up Book 1 right after 7's ending. It's that good, folks.",2,1 de enero de 2016,Estados Unidos,5
Just Me,Abominable narration....,"Although I'm a Potterhead to the Nth degree, I found this audible version intolerable simply because of the narrator, Jim Dale. His entire cadence is off--terrible timing and worse pronunciation on some pretty important words (""bezoar,"" for example). I heard a sample of Stephen Fry's version, and he is worlds better! Unfortunately, I read somewhere that the Stephen Fry versions are not available in the US due to international copy restrictions or some such. I guess I'll keep my HP books in black-and-white, rather than listen to this.",3,21 de agosto de 2018,Estados Unidos,1
richard e whitelock,NO BODY DOES IT BETTER,"My two grand daughters, ages 6 and 11 (2018) teethed on Harry Potter books. Both can recite almost verbatim each character's lines. They know the stories inside out and take great pride in acting out multiple scenes. Their minds have been stimulated by listening and watching. Their success in school, especially in terms of reading and writing abilities have been greatly influenced by HP. Don't sell your kids short. These are wonderful, adventurous stories and they won't warp your kids' minds. These stories will expand their minds immeasurably.",,10 de agosto de 2018,Estados Unidos,5
J. Levario,Great for all ages!,"JK Rowling has managed to capture the imaginations of people of all ages. It came out when I was in high school. I liked it then and love it still today. Now that we have Fantastic Beasts to look forward to, the Original Harry Potter books will live on for more generations to come. I am playing this for my students now and they have never been more engaged with a book.",,20 de octubre de 2018,Estados Unidos,5
Aaron Miller,GET RID OF JIM DALE,"THIS IS AN ABSOLUTE CRAPSHOOT OF A PERFORMANCE. Jim Dale mispronounces multiple names/words, and lacks overall performace quality. Americans continue to ask for the Stephen Fry versions, with very good reason. I wish I had not wasted my time. How TF do you mispronounce VOLDEMORT?!",6,19 de octubre de 2018,Estados Unidos,1
Stephen,Amazing Audio Book!,This is a great purchase! Not only because the Harry Potter book is so good. But the voice acting done is incredible! This isn't just a guy reading a book. He does serious voice acting which brings the book to life!,,16 de abril de 2020,Estados Unidos,5
Mittens,Help,"I know this book is awesome. I want it downloaded on my audible so I can listen to it. All it will let me do is listen to the sample. There is no way for me to purchase the download. I wish that when purchasing a book or download, there was a button one could click other than free sample. It's torturous to read the sample and be left with no book. Then there are all of these instructions on downloading. They don't work. This happens whenever I purchase any book for my kindle or for audible. I just want the book. The free sample is annoying, forgive my rant, but this happens every time I want a new book. I should not have to complain. This is crazy. Put a button that says purchase and download. Free samples are like getting 1/8 of a cookie. The store is closed, but here is your crumb. Okay, I'll stop. Just please fix this. Thanks. Sorry for the long complaint. Just frustrating.",,12 de septiembre de 2017,Estados Unidos,5
Aaron,Emma's Review,"Imagine being 11 again, but this time you don't live with your parents but instead with your prude aunt and uncle. Then picture your world changing completely when a man twice the size of a normal person barges in to tell you that you're a famous wizard. And you're only 11. At that age, it wouldn't be too hard to believe but you still would never expect to find yourself in a completely different world full of witches and wizards, dragons and goblins as well as magic spells and curses. And on top of that, you find out you're famous? That's a lot to stack onto an 11-year-old but it starts the journey to an amazing life among wizards and spells and everything fantastic you can imagine. That's what Harry Potter is all about. I found this book to be exceptional and I enjoyed reading it thoroughly. I had seen all the movies several times but never put in the effort to read the book until now, and I'm glad I did. I found that I had missed out on a big chunk of the story and read all of the important details that producers can't include in movies. It opened up a new point of view for me in the Harry Potter world that I don't regret putting time into. The writing was wonderfully detailed and portrayed a fun and unique image in my mind which leaves me to wonder how J.K. Rowling came up with the idea to write the series in the first place? Not only is the story line so original and fascinating, but it has extreme detail and everything is included for a reason which ties into all the books in the series, not just the one. So it leaves me wondering just how she thought up all the detail and vivid imagery to create an entire seven book series which all books kept the reader intrigued and hungry for more. That takes true talent from a writer.",,28 de octubre de 2016,Estados Unidos,5
Bryan S. Quick,And Jim Dale does an excellent job at the naration for the entire series,"Rowling's classic tale of Harry Potter's journey into the magical world is worthy of being revisited many times. And Jim Dale does an excellent job at the naration for the entire series. His portrayal brings a new element to which you will feel right at home and will be enthralled to the point where will continue listening even after arriving at your destination. He is like one of the main characters in the book, to have anyone else read HP would be a disappointment. I enjoyed it so much that I am considering ordering the electronic version even though I have it on cassette.",,27 de noviembre de 2015,Estados Unidos,5
Lauren Bryant,Highly recomend,"I think we all know, that Harry Potter is a wonderful series. If you don't then I am a little concerned as to what rock you have been living under. But, I digress. I have read all of the Harry Potter books many times, but I chose this particular product because I had a long commute to work. This is a very good reading of an already fabulous book. The reader has a very smooth voice, is easy to understand, and can easily whisk you into an alternative reality. It made my commute a whole lot better.",,24 de julio de 2018,Estados Unidos,5
Jonathan Smith,Audiobook is of high quality,"Let's start with the story about a boy with a deadly adventure for a past and the joys of flying, friendship, & love in his near future. The book narrated by Jim Dale sews the epic pattern of J.K. Rowlin's coming of age magical adventure to perfection. This is a book I have listened to multiple times and have enjoyed it every time. A must have for anyone who enjoys investing their time, energy, and emotions in literature.",,2 de enero de 2019,Estados Unidos,5
candace byszewski,Excellent audio version,I was driving to Las Vegas from San Diego and listened to The Sorcerer's Stone. The book has so much more content than the movie and the narrator was superb!,,27 de octubre de 2020,Estados Unidos,5
Timothy H.,It’s Harry Potter,The Audible books are okay. If you read other reviews you’ll see how people don’t like how the narrator voices some of the characters and I would agree sometimes it is a little cringe worthy. However it’s great if you’re busy doing something and still want to read Harry Potter. I listen to them when I drive to work and I honestly forget how the narrator sounds and I just end up getting drawn into Harry Potter.,,8 de enero de 2021,Estados Unidos,4
Sheryl Davison,Loved it! Have no complaints what so ever.,I seriously have no complaints about this! I throughly enjoyed it from beginning to end. If you close your eyes and listen sometimes the voices sound like the actors. Definitely listening to the 2nd book.,,2 de enero de 2020,Estados Unidos,5
Amazon Customer,I always used to hate reading when I was a kid but once I ...,"I got hooked on Harry Potter when it first came out, I think was in 4th grade. I always used to hate reading when I was a kid but once I got my hands on this I fell in love with reading. I been wanting to re-read the books but I have a busy work schedule now, so I decided to get the Audible version and I couldn't be happier! I can list to it while I work and it makes the work day more bearable. I really like the Narrator too, he does a lot different voices which makes it easy to differentiate the characters. His McGongall impression is spot on! Highly recommend.",,6 de junio de 2018,Estados Unidos,5
VeePhoenix,Perfection 🥰,"Huge Harry Potter fan here! I have already read this book several times, but wanted to have the audio collection as well.",,24 de agosto de 2021,Estados Unidos,5
Madison,Amazing,"Loved it! I love Harry Potter in general, but I loved being able to listen to it while commuting to work every day!",,12 de septiembre de 2020,Estados Unidos,5
Gorilichis,One of the best audiobooks ever,I absolutely love this series. This is my first time reading the audiobook and Jim Dale is a wizard. Wonderful!,,28 de enero de 2022,Estados Unidos,5
David L Brewer,Pretty Good first time,"This was my first audio book, I wasn't sure how it was going to be. I really like the book, and how its presented.",,14 de julio de 2020,Estados Unidos,5
Aurora Knapp,Great speaker.,The speaker does such a great job articulating and really getting into the characters. At moments it felt like I was listening to the movies. Great audio book!,,12 de noviembre de 2018,Estados Unidos,5
Billy Roy,Not sure,I’ve only had this few days really having trouble getting into it. I’m only doing it because my grandkids say it’s such a great series. Guess I’m too old,,20 de diciembre de 2019,Estados Unidos,4
A. Hanson,Amazing book!,I love every single part of this book. Ive read it a hundred times and it just keeps getting better. I now finally bought it on Audible so that I can listen to it as I get my daughter to sleep since I have no time to read books anymore. The speaker is male and has a nice voice.,,11 de agosto de 2018,Estados Unidos,5
Guillermo Hepburn Barnica,Hate the narrator,"I love the Harry Potter books, I really hated the narrator, specifically the way he tries really hard to make the voices of the character's",,13 de enero de 2022,Estados Unidos,2
merker12,Love this story.,LOVE THIS STORY!!!! 😄. I could read this story every day......in fact.....I just might!. 😀,,12 de julio de 2021,Estados Unidos,5
TJ#5,The series,It doesn't matter if you have all the movies or books. You should listen to the audible readings of the series. I love them all. I'm in my late 50's and just love listening to Jim Dale read them and his ability to do all the characters is amazing. I still wish I could live there. I always wanted to fly.,,15 de junio de 2021,Estados Unidos,5
J Me,unfortunate,jk rowliing his horribly transphobic and a completely unabashed terf.,,10 de enero de 2022,Estados Unidos,1
Nikki,We love this book! It is our second time listening as a family.,"Our family (kids are girls now 9&6) just live this book. We are relistening and loving it yet again! Thank you JK Rowling!
We have been having such fun playing Harry Potter trivia!",,1 de julio de 2019,Estados Unidos,5
G Baker-Cinnamon,Even better than the written book,"I was surprised how much I liked having the story read to me. I'd already read the book 3 times, but hearing it made it even more magical.",,23 de septiembre de 2019,Estados Unidos,5
Indigo Girl,Such a fantastic narrator! Loved this as much as the written format and the movies!!!,"While I have read the books and watched the movies multiple times, I recently bought the audio book to listen to during my train commute to work and also while traveling to Ireland. LOVED the book. The narrator is fantastic!!!",,26 de agosto de 2018,Estados Unidos,5
Kesare,Awesome,"I love this, the narrators voice is super relaxing and changes his style for different characters. I find myself looking forward to listening to this while walking instead of music",,13 de septiembre de 2019,Estados Unidos,5
xlalilamx,The book is better than the movie for sure,"I was never a fan of the movies. I was too busy for books when they came out, but now I am glad I have been able to listen to them. The way the books are read is really nice as well.",,1 de marzo de 2019,Estados Unidos,5
N N,What a great thing to have...,"This is what we play while we drive, kids prefer it over anything else (including movies).",,28 de septiembre de 2020,Estados Unidos,5
Samantha Locke,Amazing,"Listened to Harry Potter audiobooks when I was about 4 on cassette. I don’t have a cassette player anymore, so audible is perfect and I listen to books every night on my Echo Spot when I’m going to sleep!",,10 de enero de 2019,Estados Unidos,5
Keith D.,Harry Potter Fan!,"I read all the Harry Potter books when they were first published! My husband and I have been fans for a long time, having bought all the books, tapes, dvds , and movies. I guess we’re the biggest 70 year old fans of Harry Potter! I now read all my books on kindle...and decided I had to have my Harry Potter books on my device too. I’m also a fan of all J.K. Rowling’s latest books also.
Joyce Dial, Wichita",,11 de septiembre de 2019,Estados Unidos,5
Taylor Lewis,I want the narrator to follow me around all day,"At first thought of an audio book I rolled my eyes. Even though I love Harry and the gang, I was expecting this to put me to sleep. The narrator keeps things lively though with all the voices he does. It truly feels like you're in Hogwarts!",,12 de septiembre de 2018,Estados Unidos,5
Corinne,Not just for kids,Excellent series for low-stress enjoyment. I listen to this book on rotation with the rest of the series. Incredible story and Jim Dale’s voice is perfect for it!,,5 de febrero de 2019,Estados Unidos,5
HollygoLightly,Best Narrator Ever,"I love, love these books. The person who does the narration is awesome. I especially love his drunk witch voice! Makes me look forward to my 4 hour daily commute!",,27 de diciembre de 2019,Estados Unidos,5
ariel halperin,Love it,My son love this book. We just start the second book,,23 de julio de 2020,Estados Unidos,5
Gina Lucchesi,Amazing!,"I have been wanting to reread the Harry Potter series, but with an infant at home I haven't been able to find the time. This had been perfect to listen to in the car and while doing few things around the house. The reader does a great job with keeping you engaged and does a great job with the voices!",,18 de enero de 2020,Estados Unidos,5
KB,Made a Nice Gift,Made a Nice Gift,,11 de abril de 2021,Estados Unidos,5
Maria P,Love this book!!,I absolutely love this book!! Happy with purchase!!,,14 de abril de 2020,Estados Unidos,5
R. N.,Harry Potter Audiable,"I have quite a variety of audible books for my 3 Grandkids, and any ""Harry Potter"" books, are the best!",,25 de agosto de 2019,Estados Unidos,5
Donald Hopfe,What better way to relax than to listen instead of read,Since you can listen to it you can let your mind wonder and visualize the scenes in the story. It also is relaxing so if you fall asleep no need to worry.,,9 de agosto de 2021,Estados Unidos,4
John C. Cyr,It's Harry Potter,do you really need a review at this point? You've seen the movies a thousand times. Turn on your tv right now...it's on. It'll be on tomorrow. Six months from now? On. The books are better though and get better as the series goes on.,,11 de enero de 2019,Estados Unidos,5
Jean,Jim dale is an excellent narrator,"I have enjoyed the HP movies and I felt it was time to read the books (I’m a little bit behind, lol). Jim dale is an excellent narrator and really brought the book to life. This was also one of my first audiobooks and I’m now I’m love.",,5 de agosto de 2018,Estados Unidos,5
Robin,Love this book,"I love Harry Potter, Jim Dale the narrator is absolutely amazing.",,12 de mayo de 2020,Estados Unidos,5
Citizen_Four,Never Gets Old,"What can I say - awesome book, awesome performance (audiobook). A once in a lifetime story man. never gets old!",,12 de septiembre de 2021,Estados Unidos,5
Nad,HP Fan here,good read,,12 de agosto de 2020,Estados Unidos,5
Critical Analysist,Quality Still An Issue!,Only played once from Audible!,,24 de marzo de 2021,Estados Unidos,1
Sandie Forshag,Best yet,"I have read this book several times. I also have had this book on cd. The book is one of the very best. Jim Dales’s voice performance is phenomenal. And the Audible delivery is by far the easiest way to listen to any book. Especially when driving. No switching cd’s or tapes. So there you have it one of best books ever written, superbly read by incredible talent, delivered wirelessly in the safest and easiest to use delivery service",,3 de enero de 2019,Estados Unidos,5
Mónica Hernández,Distraction,I like this book is perfect if you need to distrac the main,,25 de mayo de 2020,Estados Unidos,3
gale a armstrong,great,great,,27 de julio de 2020,Estados Unidos,5
Jesse,Incredible first book of a Fantastic series,"This series of Harry Potter audiobooks read by Jim Dale are the best, he is the voice of these books and this incredibly well written series. By 7th book you are living Hogwarts and feel like you’re part of the wizarding world.",,13 de mayo de 2020,Estados Unidos,5
Brad Bollino,Fun Listen,"Great sound quality, very easy to listen to. No complaints at all, just as a fan might be nice to hear in an English accent to go with the writing style. But love reading/hearing these stories.",,18 de junio de 2018,Estados Unidos,5
Anne,"Great way to ""reread"" the series","Read the series and figured I would try the audio. I love it, the guy reading the book really gets the listener's attention. Also helps with how names, spells, and such are really pronounced. Great entertainment for long drives too. I love this book!",,1 de agosto de 2018,Estados Unidos,5
Terry,Great book,Great book,,9 de junio de 2020,Estados Unidos,5
Amazon Customer,A good book,We bought this product to listen in the car. Love Harry Potter.,,11 de julio de 2020,Estados Unidos,5
Kris,Great audio version!,"I love the variations in tone and voice in this audio recording. Much better than others I have encountered. Very intriguing to listen to, even though I've heard this story so many times!",,27 de septiembre de 2019,Estados Unidos,5
Jessica,Love it!,I live for Harry Potter so I was super happy to have this!,,14 de diciembre de 2019,Estados Unidos,5
Stenoe,Highly recommended,Excellent audiobook with fantastic narration.by Jim Dale. He creates different voices for each character and keeps the listener interested.,,10 de octubre de 2018,Estados Unidos,5
Monica,,,,9 de noviembre de 2020,Estados Unidos,5
mcollins,Harry Potter #1,"Love this series, great book for all ages. I have been very happy with the book.",,2 de septiembre de 2019,Estados Unidos,5
sara j reiff,Didn’t it!,Didn’t order!,,14 de abril de 2020,Estados Unidos,1
Tiandra M. Arredondo,As good as I remembered!,I really enjoyed the audiobook version of The Sorcerer's Stone! It was engaging and the narrator played the role superbly!,,15 de febrero de 2019,Estados Unidos,5
Lindsey McDonald,awesome narrator,The narrator is what makes this audio book worth purchasing. I've already read the series and I thoroughly enjoy listening to the narrator re-tell it.,,24 de mayo de 2019,Estados Unidos,5
Diane D.,Book for all ages.,Third reading. Once for self. Once with students. Once with granddaughter. Wonderful each time.,,15 de agosto de 2019,Estados Unidos,5
LBS,Better than the movies,Jim. Dale. Is. Perfection!!,,31 de diciembre de 2019,Estados Unidos,5
Campbells3,Perfect,"I love this series soo much, I was genuinely worried the audible version would ruin it for me. I was wrong! Jim Dale is an excellent narrator. I’m getting lost all over again in this magical world. Makes my commute fly by.",,15 de octubre de 2019,Estados Unidos,5
Kathleen,Loved the guys voice,Loved the Harry Potter books this guys voice is easy to listen too!,,22 de junio de 2019,Estados Unidos,5
Lisa A.,Love listening to this book over & over again!,I love listening to this book while I work!,,18 de enero de 2022,Estados Unidos,5
dagan,great,Jk Rowling has a great voice that gives the world enough description to create a world in your head but not enough that it feels completely static. She gives a lot of room for your imagination to go wild. I personally don’t find the theme of a secret world of wizard to be very interesting. But I found her style to be interesting even if the theme was not very interesting to me.,,5 de enero de 2019,Estados Unidos,5
Abseroo,The Audible version by Jim Dale is the best!,"I had so much fun listening to Jim Dale's performance of this book! His talent for accents and his ability to change nimbly between them all with each character in a conversation just made the book, which I had read at least twice before, come alive for me!",,24 de agosto de 2016,Estados Unidos,5
BlueNC1817,Great book,"Rereading it for the first time. Great book, well written, and even knowing the story it kept me turning the pages late into the night.",,11 de enero de 2019,Estados Unidos,5
Jean Pudlewski,Great way to get into a book when you're too busy to sit down and read.,"I loved the book and if I'm cleaning around the house or sitting down with a puzzle, the audio book is wonderful. I also really enjoy that it is read in a British accent. So much fun.",,2 de mayo de 2018,Estados Unidos,5
Anita,Fun read,"Well written, audio book was fun to listen to.",,9 de octubre de 2019,Estados Unidos,5
ChristinaGF,It Harry Potter so it great.,I love Harry Potter. I wanted to get something to listen to at work and on the bus that wasn't music. So I decided on the Harry Potter books.,,16 de mayo de 2019,Estados Unidos,5
Kerry Kott,Just do it!,Mind blowingly brilliant! The best book I've ever read.,,5 de noviembre de 2020,Estados Unidos,5
Greg Cook,Loved it. I read the book several years ago ...,Loved it. I read the book several years ago with my daughter and enjoyed listening to the audio book on a drive to the beach.,,19 de junio de 2018,Estados Unidos,5
Denise,I love these audio books,I love the story of Harry Potter and the guy that reads the books does an excellent job.,,17 de diciembre de 2018,Estados Unidos,5
Bill W.,Excellent!,Great narration of a wonderful story!,,16 de diciembre de 2020,Estados Unidos,5
JC,Books are better than movies,But audiobooks are even better!,,19 de agosto de 2019,Estados Unidos,4
Tom,Pleasant listening,Great voice,,12 de noviembre de 2019,Estados Unidos,4
Jocelynn Banchs,No Stephen Fry,It’s an alright listen if you’ve never heard Fry’s Narration but if you’ve grown up with the other it’ll be a bit jarring,,3 de septiembre de 2018,Estados Unidos,4
B.navarre,JKR sucks,Nope,,1 de marzo de 2022,Estados Unidos,1
Sean Gross,The Book is better,"and a bit more basic in a good way. I now know what all the hype is about. I'm a Harry Potter fan now, already did the sorting hat on Pottermore. Huffle Puff",,9 de octubre de 2018,Estados Unidos,5
Ryan Greenbaum,First Harry Potter book on tape — great purchase!,First time listening to a Harry Potter book on tape. Time to order the rest — really enjoyed it. Kept me engaged the entire time,,3 de diciembre de 2018,Estados Unidos,5
Cait Williams,Give us the Choice between Stephen Fry and Jim Dale,"Jim Dale is a fine narrator, but we should have the option to purchase the Stephen Fry version via Audible in the US. I may live in America, but when reading a British novel, I want a British narrator.",4,25 de septiembre de 2016,Estados Unidos,3
Eric J,I started reading these because of my son,And fell in love with the series. The books get better as the go along!,,1 de mayo de 2019,Estados Unidos,4
Jenny,It’s a great book I wish I could use it.,Couldn’t download and it didn’t show up as a purchased item. Customer support didn’t return my messages. Highly frustrated.,,11 de abril de 2019,Estados Unidos,1
Living for Him,You must listen to this!,"He is the best audiobook performer out there, bar none. True Love you! Remarkable! He won a Grammy for this book. Can’t recommend enough. It’s my favorite way to experience the books.",,20 de diciembre de 2020,Estados Unidos,5
BloodyBoring,Woo-Hoo!,"It's Harry Potter in the car and through Alexa, what else can I say?",,19 de mayo de 2020,Estados Unidos,5
IsraelIsrael,"Very Veryah Goode Veryah, Veryah Funiyahhh. Veee Vee Ve Veryah.","Very Veryah Goode Veryah, Veryah Funiyahhh. Veee Vee Ve Veryah.",,6 de abril de 2019,Estados Unidos,5
Bobby humphrey,Can’t go wrong,Favorite book,,27 de enero de 2020,Estados Unidos,5
Aileen M. Lawrimore,wonderful,so easy to listen to and very enjoyable,,21 de octubre de 2019,Estados Unidos,5
AlanH,Horrible,Just horrible. Find something better written be someone better.,,28 de diciembre de 2021,Estados Unidos,1
James S,hate voice luv book,i hate this book. no efforts that is real was put in this audible book i hate it but i love that book plese sue this guy,,7 de febrero de 2021,Estados Unidos,1
Steel,Gold,What is there to not like?,,29 de junio de 2019,Estados Unidos,5
HappyPsalm,"Yes, Definitely!",Wonderful!!! We are greatly enjoying this audible selection as we drive as a family!,,26 de agosto de 2018,Estados Unidos,5
BEL,What a book!,So much fun! Made our commute with two kids each day so enjoyable!,,24 de noviembre de 2018,Estados Unidos,5
Olga,Harry Potter,Wonderful voice actor. Enjoyable to listen to.,,11 de febrero de 2019,Estados Unidos,5
Heidi Leibold,This book makes me so happy!,LOVE these books and am so happy that I can listen to it on my commute or down time.,,30 de junio de 2020,Estados Unidos,5
K. D. Wagner,Satisfying to the imagination in a world so devoid of new and fanciful one often feels starved.,"I had forgotten how delightful the book was, so deliciously rich in detail of the characters and their world. Take your time, savor each morsel of decadent pleasure.",,31 de octubre de 2020,Estados Unidos,5
Amazon Customer,Perfect audio book for a long ride with the kids.,"Absolutely a wonderful book as everyone in the world probably already knows. But hey, it's summer and when it comes to a family vacation, what better choice than taking Harry Potter along. If you've only experienced The Sorcerer's Stone in print or ebook, do yourself a favor, revisit J.K. Rowling in this Audible selection.",,8 de junio de 2018,Estados Unidos,5
Matthew,"of all the HP books,","of all the HP books, this one is the slowest and it takes the Voice Actor a while to hit his stride",,18 de mayo de 2018,Estados Unidos,4
Alli C,O,Pleased with this item,,27 de mayo de 2019,Estados Unidos,5
GARY,LISTEN TO THE ENTIRE SERIES YOU MUGGLES!,"HOW CAN YOU GO WRONG WITH HARRY POTTER?
LISTEN TO THE SERIES AND ENJOY LIFE!",,21 de junio de 2018,Estados Unidos,5
Dawn Brown,Good value,Loved listening to this.,,17 de mayo de 2019,Estados Unidos,5
Dale,Great story,Love the story,,2 de octubre de 2019,Estados Unidos,5
Silvia,five stars,I started reading harry potter a week ago and I am on book 4.If you are a 11 like me and like mystery and witchcraft this is the book for you(recomend the audible version),,29 de mayo de 2020,Estados Unidos,5
Sheridan Stall,PERFECT,"AMAZING, LOVE THE NARRATOR",,8 de noviembre de 2019,Estados Unidos,5
Melissa K,Easy listening,My boys and I love listening to the Harry Potter books. Jim Dale does a good job reading them. He has a voice that is easy to listen to and he changes his voice for each character.,,8 de diciembre de 2018,Estados Unidos,5
Emma Gabbert,wonderful!,love the voice!,,5 de enero de 2020,Estados Unidos,5
Erin,STEREOTYPES,The book in general is terrible. It focuses on stereotypes and sorts people by stem types. The Slytherins are always the bad guys and Gryffindor is always the “hero.”,,20 de junio de 2019,Estados Unidos,1
Ann,Harry Harry Harry,Love me some Harry Potter and being able to listen while I still get stuff done is great.,,13 de abril de 2018,Estados Unidos,5
Smawkward,Won’t regret downloading!,"Narrator does a fantastic job! Wanted to re-read the books, but just don’t have time with my work commute! So glad I downloaded!",,6 de enero de 2019,Estados Unidos,5
rui valverde,Price,Good,,8 de julio de 2019,Estados Unidos,5
AMBER,books > movies,"It is a new classic! An icon of my generation. The work is well written, with amazing details. The movies are nothing in comparison to the actual book.",,23 de junio de 2020,Estados Unidos,5
Andie,Super happy,Love it!,,14 de noviembre de 2020,Estados Unidos,5
Linda,have not been able to play the book yet,unable to open and play the book don't know what's wrong. but that is why I Haven't gotten more,,3 de mayo de 2021,Estados Unidos,1
Andrea Reed,Great read,Loved hearing this book:) the reader was great and put so much enthusiasm in reading it that I didn't want to stop listening:),,8 de abril de 2021,Estados Unidos,5
Kathleen Anderson,👍,👍,,28 de abril de 2019,Estados Unidos,5
Vicky Glover,A,A,,30 de diciembre de 2019,Estados Unidos,5
Samantha,"Loved it as a kid, but…",Joanne Rowling is transphobic and it’s such a bummer.,,4 de septiembre de 2021,Estados Unidos,1
Ronald D. Whitmont,Still a Great Read (or listen),"Timeless, witty, enormously entertaining, even on the 3rd re-read, many years later!",,2 de agosto de 2019,Estados Unidos,5
Aishah,Great Book love it!,I love Harry Potter all of the books are great!,,18 de abril de 2020,Estados Unidos,5
sam douglas,Narrator was amazing and really stepped into the character roles.,"I loved this book! Harry Potter is great anyway, but this narrator really brought the book to life. He stepped into the character roles and had different voices for each character. I felt like I could close my eyes and see and hear exactly what the book was describing. 100% recommend!",,21 de marzo de 2019,Estados Unidos,5
michael burnett,Feed your imagination through listening.,"What else can be said about this book that hundreds of thousands of people haven’t said before, world wide. This is an exciting adventure which the words fill the readers’ imagination from beginning to end.",,30 de marzo de 2019,Estados Unidos,5
aval,Narrator is Great!,I love the narrator. He does voices for all the characters and really helps me get into the story.,,5 de junio de 2018,Estados Unidos,5
Hturnmire,Loved,Listened on a road trip,,27 de noviembre de 2018,Estados Unidos,5
shar,Love it,Amazing narration,,4 de mayo de 2019,Estados Unidos,5
Kathy,Great series,Love the series,,29 de diciembre de 2018,Estados Unidos,5
Sarah Hunter,Love this book,Love this book! The narrator does a fabulous job reading the story! I listen to this anytime I am in the car or as I go to sleep.,,21 de septiembre de 2017,Estados Unidos,5
James R Derr,Great book,Great book,,11 de agosto de 2020,Estados Unidos,5
Vick,Love it,Love it. I listened to this while driving.,,16 de octubre de 2019,Estados Unidos,5
Timeladyjojo,Love these Harry Potter audio books!,Love these audio books! Jim Dale is awesome with his different voices for the different characters,,27 de octubre de 2018,Estados Unidos,5
Kimberly Kidman,Great book!,Excellent!,,26 de enero de 2020,Estados Unidos,5
Amazon Customer,"Story is fabulous, Narrator is only so so.","I love the Harry Potter Series as a whole I really do. The reason I gave this a 3 star is that Audible didn't use Stephen Fry as the Narrator. I currently have this series in audio book from years ago. And have been waiting for years for Audible to make it available as well, and was so excited that they finally did until I saw and heard that they went with a different narrator. Yes this guy is British, but his story telling is a bit rushed and he just doesn't tell the story as well as Stephen Fry does. So because of this I will be sticking with the copy I have instead of switching to this version.",,29 de diciembre de 2015,Estados Unidos,3
Kait,Amazing,It’s Harry Potter. How can it not be good,,25 de julio de 2020,Estados Unidos,5
Marty Olson,Excellent,Well read,,2 de septiembre de 2020,Estados Unidos,5
Amanda H,Easy listening,Love the book!,,16 de noviembre de 2018,Estados Unidos,5
Mackenzie Holloway,Harry Potter!,Just what I wanted,,25 de julio de 2019,Estados Unidos,5
Josh A. Hinkle,Great Audible,"Some of.the accents are interesting, but overall a very good read.",,9 de agosto de 2019,Estados Unidos,5
Suze,road,good listening,,3 de noviembre de 2018,Estados Unidos,5
Xander,Yes,"Only got for nostalgic purposes.
Always worth it. 10/10",,8 de julio de 2019,Estados Unidos,5
Kristin,Amazing,My favorite book of the series,,15 de agosto de 2018,Estados Unidos,5
Happy Reading & Watching,Love harry potter!!!,Live love this book and the audio is amazing!,,11 de noviembre de 2018,Estados Unidos,5
Seongwon Lee,bleh! horrible!,"before i read it, i thought it would be fun. but after reading it, it turns out it was worse than i thought. i think its because im not really a fantasy kinda guy.",,19 de agosto de 2019,Estados Unidos,1
Nick Z,Harry Potter,Amazing book with a great narrator.,,28 de junio de 2018,Estados Unidos,5
Corey Gerberdolan,Good voice,Easy to drive too.,,25 de diciembre de 2019,Estados Unidos,5
Morgan Brannon,if you don't like Harry Potter theres something wrong with you,"obviously love harry potter, obviously love this book, even better when I can multitask and still listen",,5 de junio de 2019,Estados Unidos,5
Garry Maurath,great voices,"I really enjoyed listening, the reader was very experienced and did a wonderful job bringing the book to life. The only Problem I experienced was some difficulty getting the book to download to the device of my choice.",,25 de enero de 2019,Estados Unidos,5
Amazon Customer,Great!!,Love. Harry Potter read by Jim Dale!!,,22 de junio de 2021,Estados Unidos,5
Porter Lunak,Love the book,Love the book,,28 de octubre de 2018,Estados Unidos,5
brittany mills,Really enjoyed,"Loved this book and i really enjoyed getting to listening to
It in the car",,30 de septiembre de 2018,Estados Unidos,5
